#YY	MM	DD	hh	mm	WDI	R WSP	D GST	WVHT	DPD	APD	MWD	PRES	ATMP	WTMP	DEWP	VIS	TIDE
2021	1	2	0	42	24	2.5	2.7	99	99	99	999	1027.1	2.9	6.6	999	99	99
2021	1	2	0	48	17	2.3	3.1	99	99	99	999	1027.3	2.9	6.6	999	99	99
2021	1	2	0	54	999	99	99	99	99	99	999	1027.5	2.9	999	999	99	99
2021	1	2	1	0	999	99	99	99	99	99	999	1027	3	999	999	99	99
2021	1	2	1	6	36	3.4	4.2	99	99	99	999	1026.6	2.9	6.5	999	99	99
2021	1	2	1	12	24	2.8	4	99	99	99	999	1026.6	2.8	6.5	999	99	99
2021	1	2	1	18	32	2.7	3.4	99	99	99	999	1026.3	2.9	6.5	999	99	99
2021	1	2	1	24	32	2.7	3.7	99	99	99	999	1026	2.9	6.5	999	99	99
2021	1	2	1	30	25	2.9	3.5	99	99	99	999	1025.8	3	6.5	999	99	99
2021	1	2	1	36	36	2.2	3.5	99	99	99	999	1025.4	3.1	6.5	999	99	99
2021	1	2	1	42	34	2.3	3.3	99	99	99	999	1025.4	3.1	6.5	999	99	99
2021	1	2	1	48	52	2.5	3.3	99	99	99	999	1025.2	3.2	6.5	999	99	99
2021	1	2	1	54	999	99	99	99	99	99	999	1025	3.3	6.5	999	99	99
2021	1	2	2	0	999	99	99	99	99	99	999	1024.7	3.3	6.6	999	99	99
2021	1	2	2	6	67	2.6	3.3	99	99	99	999	1024.7	3.3	6.5	999	99	99
2021	1	2	2	12	51	2	3.3	99	99	99	999	1024.7	3.4	6.6	999	99	99
2021	1	2	2	18	47	2	2.6	99	99	99	999	1024.4	3.4	6.6	999	99	99
2021	1	2	2	24	58	2.2	3.1	99	99	99	999	1024.2	3.3	6.6	999	99	99
2021	1	2	2	30	67	2.4	3.3	99	99	99	999	1024	3.3	6.6	999	99	99
2021	1	2	2	36	70	3	4	99	99	99	999	1023.6	3.3	6.6	999	99	99
2021	1	2	2	42	73	3.1	3.8	99	99	99	999	1023.7	3.3	6.6	999	99	99
2021	1	2	2	48	81	2.4	4.8	99	99	99	999	1023.7	3.3	6.6	999	99	99
2021	1	2	2	54	76	2.2	3.6	99	99	99	999	1023.3	3.4	999	999	99	99
2021	1	2	3	0	77	3.3	4.2	99	99	99	999	1023	3.4	999	999	99	99
2021	1	2	3	6	82	3.3	5	99	99	99	999	1022.4	3.4	6.6	999	99	99
2021	1	2	3	12	95	3.3	4.8	99	99	99	999	1021.8	3.3	6.6	999	99	99
2021	1	2	3	18	109	3.6	6.3	99	99	99	999	1021.7	3.5	6.6	999	99	99
2021	1	2	3	24	100	3.8	5.4	99	99	99	999	1021.3	3.7	6.6	999	99	99
2021	1	2	3	30	106	2.6	4.9	99	99	99	999	1021.9	4.3	6.6	999	99	99
2021	1	2	3	36	127	6.3	8.9	99	99	99	999	1021.5	5.8	6.6	999	99	99
2021	1	2	3	42	119	7.1	8.9	99	99	99	999	1020.7	6	6.6	999	99	99
2021	1	2	3	48	132	5.6	9.7	99	99	99	999	1021.3	6.1	6.6	999	99	99
2021	1	2	3	54	124	5.3	7.5	99	99	99	999	1021.6	6.2	6.6	999	99	99
2021	1	2	4	0	117	5.6	7.4	99	99	99	999	1021.6	6.2	6.8	999	99	99
2021	1	2	4	6	111	4.9	8	99	99	99	999	9999	6.1	6.8	999	99	99
2021	1	2	4	12	111	5.2	6.5	99	99	99	999	9999	6	6.8	999	99	99
2021	1	2	4	18	112	5.5	10.6	99	99	99	999	9999	5.9	6.8	999	99	99
2021	1	2	4	24	107	6.3	8.5	99	99	99	999	1020.2	5.8	6.6	999	99	99
2021	1	2	4	30	103	6	8.7	99	99	99	999	1020.2	5.8	6.6	999	99	99
2021	1	2	4	36	106	4.8	8.8	99	99	99	999	1019.8	5.7	6.6	999	99	99
2021	1	2	4	42	104	5.6	7.6	99	99	99	999	1019.9	5.8	6.5	999	99	99
