Tank,Timepoint,Date,Calib.Date,Temperature,pH.MV,Salinity,Light,Flow_mL_sec,Treatment,Notes 
Tank3,2/9/21,20210209,20210205,9.04,-54.3,31.42,124,NA,Heat,
Tank4,2/9/21,20210209,20210205,9.13,-53.4,31.46,80,NA,Ambient,
Tank5,2/9/21,20210209,20210205,5.41,-53.4,31.32,102,NA,Heat,
Tank6,2/9/21,20210209,20210205,9.27,-51.7,31.62,135,NA,Heat,
Tank7,2/9/21,20210209,20210205,8.63,-53.5,31.54,97,NA,Heat,
Tank8,2/9/21,20210209,20210205,4.68,-55,31.26,79,NA,Ambient,
Tank9,2/9/21,20210209,20210205,8.84,-53.7,31.53,124,NA,Heat,
Tank10,2/9/21,20210209,20210205,5.17,-55.2,31.18,128,NA,Ambient,
Tank11,2/9/21,20210209,20210205,9.04,-54.5,31.56,128,NA,Heat,
Tank12,2/9/21,20210209,20210205,4.83,-54.6,31.35,102,NA,Ambient,
Tank15,2/9/21,20210209,20210205,8.67,-54.7,31.58,105,NA,Heat,
Tank16,2/9/21,20210209,20210205,5.19,-54.9,31.23,113,NA,Ambient,
Tank17,2/9/21,20210209,20210205,8.83,-54.3,31.54,114,NA,Heat,
Tank18,2/9/21,20210209,20210205,4.2,-54.9,31.21,103,NA,Ambient,
Tank1,2/10/21,20210210,20210205,5.64,30.06,-55.4,NA,NA,Ambient,
Tank2,2/10/21,20210210,20210205,5.22,30.28,-55.9,NA,NA,Ambient,
Tank3,2/10/21,20210210,20210205,9.25,31.2,-55.4,NA,NA,Heat,
Tank4,2/10/21,20210210,20210205,9.08,31.12,-55,NA,NA,Ambient,
Tank5,2/10/21,20210210,20210205,5,30.6,-55.6,NA,NA,Heat,
Tank6,2/10/21,20210210,20210205,9.1,31.25,-55.6,NA,NA,Heat,
Tank7,2/10/21,20210210,20210205,8.75,31.13,-55,NA,NA,Heat,
Tank8,2/10/21,20210210,20210205,4.96,30.91,-56.7,NA,NA,Ambient,
Tank9,2/10/21,20210210,20210205,8.76,31.57,-55.5,NA,NA,Heat,
Tank10,2/10/21,20210210,20210205,4.21,30.64,-56.9,NA,NA,Ambient,
Tank11,2/10/21,20210210,20210205,9.08,31.53,-56.3,NA,NA,Heat,
Tank12,2/10/21,20210210,20210205,4.64,30.99,-57,NA,NA,Ambient,
Tank15,2/10/21,20210210,20210205,8.66,31.56,-56.7,NA,NA,Heat,
Tank16,2/10/21,20210210,20210205,5.68,30.76,-55.5,NA,NA,Ambient,
